;;;;;;;;;;;
.IN (NUMBER) ;B04PFA23;B48APBEGUNST;B930906;B93100;B931001;B93200;B932012RYK500;B932012RYK5001;B932012RYK501;B932012RYK502;B932012RYK503
;B932012RYK505;B932012RYK506;B93300;B93400;B93500;B93600;B93700;B93AB92GAR;B93AB92MAN;B93AB92NED;B93AB92NED1
;B93AB92OPH;B93AB92RYK;B93AB92SER;B93AFRBEVOVM;B93AFRBEVOVU;B93AFRGARER;B93AFRGARPR;B93AFRKRED;B93AFRLÅN;B93AFTAFI;B93AFTTID
;B93AFTTID1ÅRERH;B93AFTTID1ÅRPRI;B93AKTIEINVEST;B93AKTIEINVEST1;B93AKTLÅNEOMLÆG;B93ANMODPI;B93BAMBAS;B93BANKBOGSP;B93BANKINVEST1;B93BANKSKIFT;B93BANKSKIFT1Z
;B93BDLRGARZ;B93BEKRÆFTELSE1Z;B93BESTUDLCH;B93BESTUDLCHGL;B93BETGAREJD;B93BETGARMF;B93BEVRETFIL;B93BEVRETMED;B93BIL;B93BIRTHETEST;B93BISØSTER
;B93BKURSSIKNEJZ;B93BOERNFORLZ;B93BOLIG10ÅR;B93BOLIGMIS;B93BREV01;B93BREV02;B93BREV02ENGELSK;B93BREV03;B93BREV04;B93BREV12;B93BREV14
;B93BREV67;B93BREVIND01;B93BREVIND01XX;B93BREVIND02;B93BREVIND03;B93BREVIND04;B93BREVIND12;B93BREVIND14;B93BRL;B93BSKATZ;B93BUD2002
;B93BUDGETAF;B93BUDGETKU;B93BUDKONVERTZ;B93BUDLMEDDZ;B93BYGKREF;B93BYGLAANALL;B93BØRNEU;B93BØRNFORL;B93DABCHRIM;B93DABCHRIMVAL;B93DABCHRIMÆ
;B93DC1TRANSPORT;B93DC2TRANSPORT;B93DCTRANSPORT;B93DEPONER;B93DEPONERE;B93DEPONERF;B93DEPONERFÆ;B93DEPTIL;B93DLRREGAR;B93DLRREGARGL;B93DLRREGARNY
;B93DØDSBOSKIFT;B93DØDSBOÆGTE;B93DØRÅBENAZ;B93DØRÅBENBZ;B93DØRÅBNER1Z;B93DØRÅBNER2Z;B93EJDKONTER;B93EJDKONTPR;B93EJDKØBTI;B93EJDRESTKBSUMÆ;B93EJDRESTKSUM
;B93EJDRESTKSUMÆ;B93EJDSALG;B93EJDSALGTI;B93EJDSALGTIGL;B93EJSOLIDITET1Z;B93ERHVERVRYK501;B93FAKTURA;B93FASTRT;B93FAX;B93FONDSAK;B93FONDSAK1
