Bank: B25 LTD: B25PENB       Missing functionality! command: .mg
Bank: B26 LTD: B26CHECKB02NY       Missing functionality! command: .co
Bank: B26 LTD: B26CHECKB03NY       Missing functionality! command: .co
Bank: B26 LTD: B26CHECKB04NY       Missing functionality! command: .co
Bank: B26 LTD: B26CHECKB05NY       Missing functionality! command: .co
Bank: B26 LTD: B26FRN       Missing functionality! command: .co
Bank: B26 LTD: B26GARANTIB07       Missing functionality! command: .co
Bank: B26 LTD: B26GARANTIB07Z       Missing functionality! command: .co
Bank: B33 LTD: B33UDLCHB01X       &&Missing functionality! command: .dh
Bank: B37 LTD: B3710240BØRN03K       Missing functionality! command: .ds
Bank: B37 LTD: B3710350VERK01K       Missing functionality! command: .ds
Bank: B37 LTD: B3712342PENS01       ?Missing functionality! command: .me
Bank: B37 LTD: B3712342PENS01M       ?Missing functionality! command: .me
Bank: B37 LTD: B3750480MO1001K       Missing functionality! command: .QQ
Bank: B37 LTD: B3750480MO1102K       &&&&Missing functionality! command: .QQ
Bank: B37 LTD: B37KORKOB03       Missing functionality! command: .qq
Bank: B37 LTD: B37KORKUNB01       Missing functionality! command: .qq
Bank: B37 LTD: B37KORKUNB01K       Missing functionality! command: .qq
Bank: B37 LTD: B37KORKUNB03       Missing functionality! command: .qq
Bank: B37 LTD: B37KORKUNB03K       Missing functionality! command: .qq
Bank: B37 LTD: B37STP02       &&&Missing functionality! command: .QQ
Bank: B95 LTD: B95BREVAKTUDLØB       Missing functionality! command: .ul
Bank: B95 LTD: B95BREVHOJRTE       Missing functionality! command: .ul
